Time [ns]	Counts
-1995	1
-1985	0
-1975	0
-1965	1
-1955	0
-1945	0
-1935	0
-1925	1
-1915	1
-1905	0
-1895	1
-1885	2
-1875	1
-1865	2
-1855	0
-1845	0
-1835	0
-1825	0
-1815	0
-1805	0
-1795	3
-1785	1
-1775	1
-1765	1
-1755	0
-1745	0
-1735	0
-1725	0
-1715	0
-1705	1
-1695	1
-1685	0
-1675	2
-1665	0
-1655	0
-1645	0
-1635	1
-1625	2
-1615	0
-1605	0
-1595	1
-1585	0
-1575	0
-1565	1
-1555	1
-1545	0
-1535	0
-1525	2
-1515	0
-1505	0
-1495	0
-1485	1
-1475	0
-1465	0
-1455	1
-1445	0
-1435	1
-1425	0
-1415	1
-1405	0
-1395	1
-1385	0
-1375	0
-1365	0
-1355	0
-1345	0
-1335	0
-1325	0
-1315	1
-1305	0
-1295	0
-1285	0
-1275	1
-1265	0
-1255	0
-1245	1
-1235	2
-1225	0
-1215	1
-1205	0
-1195	1
-1185	1
-1175	0
-1165	0
-1155	0
-1145	0
-1135	0
-1125	1
-1115	0
-1105	0
-1095	0
-1085	0
-1075	1
-1065	1
-1055	0
-1045	1
-1035	0
-1025	0
-1015	0
-1005	2
-995	2
-985	0
-975	1
-965	0
-955	1
-945	2
-935	0
-925	0
-915	1
-905	1
-895	0
-885	0
-875	0
-865	3
-855	2
-845	0
-835	1
-825	1
-815	0
-805	0
-795	1
-785	0
-775	3
-765	1
-755	2
-745	0
-735	0
-725	1
-715	1
-705	0
-695	0
-685	0
-675	3
-665	3
-655	0
-645	0
-635	0
-625	2
-615	0
-605	0
-595	2
-585	0
-575	0
-565	1
-555	1
-545	0
-535	0
-525	0
-515	1
-505	0
-495	0
-485	0
-475	2
-465	1
-455	0
-445	0
-435	0
-425	2
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	1
-345	0
-335	0
-325	1
-315	1
-305	1
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	1
-215	0
-205	0
-195	0
-185	1
-175	1
-165	2
-155	0
-145	0
-135	1
-125	1
-115	0
-105	0
-95	0
-85	1
-75	0
-65	0
-55	1
-45	2
-35	0
-25	25
-15	1555
-5	591
5	6
15	0
25	0
35	2
45	0
55	2
65	0
75	0
85	0
95	1
105	1
115	0
125	1
135	0
145	1
155	1
165	0
175	0
185	0
195	0
205	0
215	0
225	1
235	0
245	1
255	1
265	0
275	3
285	2
295	2
305	1
315	1
325	0
335	0
345	0
355	3
365	0
375	1
385	1
395	0
405	1
415	1
425	1
435	0
445	1
455	0
465	2
475	2
485	0
495	0
505	0
515	0
525	0
535	0
545	0
555	0
565	0
575	0
585	1
595	0
605	1
615	1
625	0
635	1
645	0
655	0
665	2
675	0
685	1
695	0
705	1
715	0
725	1
735	0
745	1
755	1
765	0
775	0
785	0
795	1
805	0
815	1
825	1
835	2
845	1
855	0
865	1
875	2
885	0
895	0
905	1
915	3
925	0
935	2
945	0
955	1
965	1
975	1
985	0
995	1
1005	0
1015	0
1025	0
1035	0
1045	1
1055	0
1065	0
1075	0
1085	2
1095	0
1105	0
1115	0
1125	0
1135	1
1145	2
1155	0
1165	1
1175	0
1185	0
1195	0
1205	0
1215	1
1225	1
1235	0
1245	1
1255	2
1265	1
1275	0
1285	0
1295	0
1305	0
1315	3
1325	0
1335	0
1345	2
1355	1
1365	0
1375	0
1385	0
1395	1
1405	0
1415	0
1425	0
1435	0
1445	1
1455	1
1465	0
1475	0
1485	0
1495	0
1505	0
1515	2
1525	0
1535	3
1545	0
1555	1
1565	1
1575	0
1585	0
1595	0
1605	2
1615	0
1625	0
1635	1
1645	0
1655	1
1665	1
1675	1
1685	0
1695	1
1705	0
1715	2
1725	0
1735	0
1745	0
1755	0
1765	3
1775	0
1785	1
1795	1
1805	0
1815	0
1825	0
1835	0
1845	0
1855	0
1865	0
1875	1
1885	0
1895	1
1905	1
1915	0
1925	1
1935	1
1945	1
1955	0
1965	0
1975	1
1985	0
1995	0
