Time [seconds]	Counts
4.99878e+11	164
1.49963e+12	169
2.49939e+12	163
3.49914e+12	169
4.4989e+12	174
5.49865e+12	178
6.49841e+12	187
7.49816e+12	183
8.49792e+12	178
9.49767e+12	148
1.04974e+13	191
1.14972e+13	135
1.24969e+13	175
1.34967e+13	145
1.44964e+13	166
1.54962e+13	164
1.6496e+13	181
1.74957e+13	197
1.84955e+13	172
1.94952e+13	173
2.0495e+13	159
2.14947e+13	162
2.24945e+13	192
2.34942e+13	161
2.4494e+13	185
2.54938e+13	182
2.64935e+13	161
2.74933e+13	194
2.8493e+13	175
2.94928e+13	150
3.04925e+13	179
3.14923e+13	170
3.2492e+13	179
3.34918e+13	182
3.44915e+13	180
3.54913e+13	172
3.64911e+13	176
3.74908e+13	155
3.84906e+13	167
3.94903e+13	197
4.04901e+13	172
4.14898e+13	168
4.24896e+13	179
4.34893e+13	163
4.44891e+13	162
4.54889e+13	162
4.64886e+13	179
4.74884e+13	199
4.84881e+13	161
4.94879e+13	177
5.04876e+13	173
5.14874e+13	157
5.24871e+13	182
5.34869e+13	173
5.44866e+13	154
5.54864e+13	187
5.64862e+13	178
5.74859e+13	196
5.84857e+13	159
5.94854e+13	169
6.04852e+13	182
6.14849e+13	187
6.24847e+13	197
6.34844e+13	179
6.44842e+13	161
6.5484e+13	171
6.64837e+13	169
6.74835e+13	161
6.84832e+13	165
6.9483e+13	162
7.04827e+13	189
7.14825e+13	168
7.24822e+13	156
7.3482e+13	160
7.44817e+13	173
7.54815e+13	169
7.64813e+13	178
7.7481e+13	177
7.84808e+13	173
7.94805e+13	188
8.04803e+13	151
8.148e+13	180
8.24798e+13	173
8.34795e+13	166
8.44793e+13	189
8.54791e+13	164
8.64788e+13	197
8.74786e+13	177
8.84783e+13	165
8.94781e+13	165
9.04778e+13	156
9.14776e+13	165
9.24773e+13	181
9.34771e+13	163
9.44768e+13	181
9.54766e+13	155
9.64764e+13	164
9.74761e+13	159
9.84759e+13	161
9.94756e+13	180
1.00475e+14	182
1.01475e+14	157
1.02475e+14	165
1.03475e+14	182
1.04474e+14	156
1.05474e+14	179
1.06474e+14	154
1.07474e+14	187
1.08473e+14	205
1.09473e+14	155
1.10473e+14	165
1.11473e+14	154
1.12472e+14	205
1.13472e+14	156
1.14472e+14	177
1.15472e+14	186
1.16471e+14	176
1.17471e+14	167
1.18471e+14	166
1.19471e+14	167
1.2047e+14	169
1.2147e+14	170
1.2247e+14	173
1.2347e+14	163
1.2447e+14	134
1.25469e+14	184
1.26469e+14	167
1.27469e+14	185
1.28469e+14	153
1.29468e+14	173
1.30468e+14	161
1.31468e+14	187
1.32468e+14	159
1.33467e+14	170
1.34467e+14	172
1.35467e+14	167
1.36467e+14	193
1.37466e+14	172
1.38466e+14	198
1.39466e+14	165
1.40466e+14	153
1.41465e+14	191
1.42465e+14	171
1.43465e+14	178
1.44465e+14	147
1.45464e+14	185
1.46464e+14	171
1.47464e+14	178
1.48464e+14	172
1.49463e+14	225
1.50463e+14	1245
1.51463e+14	175
1.52463e+14	171
1.53462e+14	169
1.54462e+14	163
1.55462e+14	155
1.56462e+14	197
1.57461e+14	164
1.58461e+14	177
1.59461e+14	174
1.60461e+14	153
1.6146e+14	175
1.6246e+14	166
1.6346e+14	167
1.6446e+14	169
1.65459e+14	177
1.66459e+14	189
1.67459e+14	155
1.68459e+14	154
1.69458e+14	179
1.70458e+14	203
1.71458e+14	178
1.72458e+14	176
1.73458e+14	185
1.74457e+14	171
1.75457e+14	185
1.76457e+14	181
1.77457e+14	186
1.78456e+14	200
1.79456e+14	194
1.80456e+14	167
1.81456e+14	173
1.82455e+14	166
1.83455e+14	176
1.84455e+14	181
1.85455e+14	170
1.86454e+14	175
1.87454e+14	176
1.88454e+14	194
1.89454e+14	189
1.90453e+14	201
1.91453e+14	162
1.92453e+14	190
1.93453e+14	189
1.94452e+14	189
1.95452e+14	183
1.96452e+14	177
1.97452e+14	176
1.98451e+14	158
1.99451e+14	178
2.00451e+14	187
2.01451e+14	171
2.0245e+14	169
2.0345e+14	167
2.0445e+14	179
2.0545e+14	158
2.06449e+14	170
2.07449e+14	154
2.08449e+14	194
2.09449e+14	147
2.10448e+14	172
2.11448e+14	177
2.12448e+14	184
2.13448e+14	181
2.14447e+14	178
2.15447e+14	175
2.16447e+14	166
2.17447e+14	174
2.18446e+14	191
2.19446e+14	195
2.20446e+14	207
2.21446e+14	167
2.22445e+14	184
2.23445e+14	188
2.24445e+14	159
2.25445e+14	194
2.26445e+14	180
2.27444e+14	168
2.28444e+14	173
2.29444e+14	165
2.30444e+14	174
2.31443e+14	162
2.32443e+14	195
2.33443e+14	173
2.34443e+14	177
2.35442e+14	185
2.36442e+14	174
2.37442e+14	182
2.38442e+14	167
2.39441e+14	149
2.40441e+14	159
2.41441e+14	404
2.42441e+14	163
2.4344e+14	185
2.4444e+14	170
2.4544e+14	166
2.4644e+14	167
2.47439e+14	148
2.48439e+14	159
2.49439e+14	169
2.50439e+14	200
2.51438e+14	193
2.52438e+14	166
2.53438e+14	176
2.54438e+14	174
2.55437e+14	172
2.56437e+14	161
2.57437e+14	179
2.58437e+14	152
2.59436e+14	189
2.60436e+14	185
2.61436e+14	195
2.62436e+14	184
2.63435e+14	178
2.64435e+14	176
2.65435e+14	162
2.66435e+14	166
2.67434e+14	170
2.68434e+14	149
2.69434e+14	177
2.70434e+14	175
2.71433e+14	173
2.72433e+14	183
2.73433e+14	152
2.74433e+14	150
2.75433e+14	183
2.76432e+14	191
2.77432e+14	178
2.78432e+14	191
2.79432e+14	161
2.80431e+14	153
2.81431e+14	164
2.82431e+14	180
2.83431e+14	157
2.8443e+14	191
2.8543e+14	192
2.8643e+14	163
2.8743e+14	180
2.88429e+14	166
2.89429e+14	163
2.90429e+14	177
2.91429e+14	167
2.92428e+14	174
2.93428e+14	178
2.94428e+14	162
2.95428e+14	148
2.96427e+14	173
2.97427e+14	173
2.98427e+14	179
2.99427e+14	170
3.00426e+14	152
3.01426e+14	175
3.02426e+14	194
3.03426e+14	180
3.04425e+14	173
3.05425e+14	178
3.06425e+14	174
3.07425e+14	158
3.08424e+14	166
3.09424e+14	173
3.10424e+14	164
3.11424e+14	180
3.12423e+14	177
3.13423e+14	170
3.14423e+14	180
3.15423e+14	155
3.16422e+14	157
3.17422e+14	186
3.18422e+14	165
3.19422e+14	190
3.20421e+14	174
3.21421e+14	167
3.22421e+14	196
3.23421e+14	161
3.24421e+14	187
3.2542e+14	178
3.2642e+14	155
3.2742e+14	183
3.2842e+14	172
3.29419e+14	176
3.30419e+14	164
3.31419e+14	184
3.32419e+14	177
3.33418e+14	151
3.34418e+14	154
3.35418e+14	179
3.36418e+14	176
3.37417e+14	158
3.38417e+14	152
3.39417e+14	170
3.40417e+14	171
3.41416e+14	164
3.42416e+14	183
3.43416e+14	185
3.44416e+14	155
3.45415e+14	176
3.46415e+14	168
3.47415e+14	174
3.48415e+14	151
3.49414e+14	158
3.50414e+14	171
3.51414e+14	205
3.52414e+14	171
3.53413e+14	151
3.54413e+14	186
3.55413e+14	172
3.56413e+14	159
3.57412e+14	172
3.58412e+14	175
3.59412e+14	154
3.60412e+14	187
3.61411e+14	182
3.62411e+14	147
3.63411e+14	181
3.64411e+14	162
3.6541e+14	192
3.6641e+14	169
3.6741e+14	165
3.6841e+14	158
3.69409e+14	179
3.70409e+14	161
3.71409e+14	165
3.72409e+14	182
3.73409e+14	170
3.74408e+14	178
3.75408e+14	189
3.76408e+14	175
3.77408e+14	161
3.78407e+14	167
3.79407e+14	181
3.80407e+14	172
3.81407e+14	184
3.82406e+14	173
3.83406e+14	174
3.84406e+14	157
3.85406e+14	158
3.86405e+14	197
3.87405e+14	165
3.88405e+14	158
3.89405e+14	196
3.90404e+14	166
3.91404e+14	152
3.92404e+14	165
3.93404e+14	183
3.94403e+14	157
3.95403e+14	170
3.96403e+14	161
3.97403e+14	161
3.98402e+14	148
3.99402e+14	170
4.00402e+14	159
4.01402e+14	189
4.02401e+14	159
4.03401e+14	182
4.04401e+14	158
4.05401e+14	178
4.064e+14	204
4.074e+14	165
4.084e+14	203
4.094e+14	181
4.10399e+14	168
4.11399e+14	172
4.12399e+14	160
4.13399e+14	161
4.14398e+14	160
4.15398e+14	150
4.16398e+14	167
4.17398e+14	150
4.18397e+14	192
4.19397e+14	172
4.20397e+14	167
4.21397e+14	167
4.22397e+14	184
4.23396e+14	173
4.24396e+14	174
4.25396e+14	170
4.26396e+14	193
4.27395e+14	162
4.28395e+14	171
4.29395e+14	166
4.30395e+14	177
4.31394e+14	179
4.32394e+14	164
4.33394e+14	186
4.34394e+14	175
4.35393e+14	196
4.36393e+14	163
4.37393e+14	187
4.38393e+14	174
4.39392e+14	165
4.40392e+14	180
4.41392e+14	197
4.42392e+14	164
4.43391e+14	163
4.44391e+14	166
4.45391e+14	165
4.46391e+14	178
4.4739e+14	144
4.4839e+14	189
4.4939e+14	168
4.5039e+14	176
4.51389e+14	175
4.52389e+14	170
4.53389e+14	162
4.54389e+14	168
4.55388e+14	168
4.56388e+14	184
4.57388e+14	194
4.58388e+14	171
4.59387e+14	169
4.60387e+14	183
4.61387e+14	157
4.62387e+14	166
4.63386e+14	173
4.64386e+14	172
4.65386e+14	150
4.66386e+14	180
4.67385e+14	189
4.68385e+14	153
